# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
40100 7.73643 7.77953 7.63467 23.1506
40200 7.46431 7.92291 7.62646 23.0137
40300 7.5612 8.10752 7.49938 23.1681
40400 7.72545 7.61996 7.36306 22.7085
40500 7.13738 7.94608 7.12948 22.2129
40600 7.45799 8.06673 7.61005 23.1348
40700 7.29862 7.93171 7.6119 22.8422
40800 7.93286 8.34984 7.84732 24.13
40900 7.79142 8.24608 7.68049 23.718
41000 7.751 8.06801 7.5775 23.3965
41100 7.82912 7.90092 7.80156 23.5316
41200 7.47758 7.94675 7.99004 23.4144
41300 7.67455 8.06297 7.6509 23.3884
41400 7.19647 8.04504 7.5806 22.8221
41500 7.14889 7.79969 7.67382 22.6224
41600 7.25209 8.03314 7.74678 23.032
41700 7.71853 8.12182 7.64279 23.4831
41800 7.53637 8.1039 7.56304 23.2033
41900 7.82841 8.43626 8.21371 24.4784
42000 7.84817 8.31127 8.20273 24.3622
42100 7.68627 8.21026 8.03464 23.9312
42200 7.09112 9.02244 7.98657 24.1001
42300 7.08436 8.2896 8.04312 23.4171
42400 7.07609 8.70576 7.88801 23.6699
42500 7.07656 8.54697 7.90836 23.5319
42600 7.10547 8.04229 7.59807 22.7458
42700 6.58537 8.23169 8.31835 23.1354
42800 7.02654 8.41844 8.12491 23.5699
42900 7.22863 8.54351 8.17919 23.9513
43000 7.49425 8.14655 8.01228 23.6531
43100 7.33842 8.02953 8.08827 23.4562
43200 7.19654 8.38361 7.7186 23.2987
43300 7.0329 8.57385 8.04145 23.6482
43400 7.24945 8.50462 8.19396 23.948
43500 6.6472 8.51842 7.7987 22.9643
43600 7.56389 8.56633 8.14909 24.2793
43700 7.40438 8.54864 8.37601 24.329
43800 7.31042 8.70271 8.1846 24.1977
43900 7.10823 8.36642 8.33044 23.8051
44000 7.57751 8.68491 8.61217 24.8746
44100 7.46486 8.55422 8.43335 24.4524
44200 7.50167 9.03315 7.76571 24.3005
44300 7.32444 8.72026 7.63524 23.6799
44400 7.40111 9.02372 7.72363 24.1485
44500 7.29493 8.47378 7.93925 23.708
44600 7.28473 8.46887 7.99444 23.748
44700 7.03899 8.1305 8.29415 23.4636
44800 7.09219 8.07067 8.84665 24.0095
44900 7.02447 8.21126 8.37866 23.6144
45000 7.08422 8.07173 8.40647 23.5624
45100 7.52542 8.25253 8.45062 24.2286
45200 7.32613 7.99393 8.28013 23.6002
45300 7.3259 8.49712 8.29748 24.1205
45400 7.54514 8.34595 8.07673 23.9678
45500 7.12787 8.28245 8.02968 23.44
45600 6.97664 8.69677 8.06475 23.7382
45700 7.05122 8.79735 7.88047 23.729
45800 7.02623 8.56917 7.93279 23.5282
